     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
    32.17985     0.21421     0.01080     0.01376     0.01051     0.01501     0.01458     0.01828     0.01557     0.01546     0.32817
    32.51085     0.22624     0.01139     0.01484     0.01163     0.01506     0.01463     0.01761     0.01554     0.01470     0.34164
    32.84085     0.23650     0.01248     0.01542     0.01259     0.01546     0.01503     0.01888     0.01499     0.01525     0.35661
    33.17185     0.24552     0.01381     0.01591     0.01343     0.01475     0.01580     0.01837     0.01485     0.01569     0.36814
    33.50185     0.25646     0.01364     0.01601     0.01380     0.01443     0.01440     0.01764     0.01486     0.01521     0.37645
    33.83285     0.25486     0.01383     0.01620     0.01400     0.01458     0.01434     0.01775     0.01452     0.01506     0.37515
    34.16285     0.28615     0.01579     0.01923     0.01553     0.01594     0.01490     0.01828     0.01563     0.01502     0.41646
    34.49385     0.31766     0.01734     0.02056     0.01712     0.01638     0.01599     0.01924     0.01633     0.01638     0.45700
    34.82385     0.29176     0.01766     0.01991     0.01738     0.01491     0.01477     0.01712     0.01568     0.01554     0.42472
    35.15385     0.31220     0.01787     0.02189     0.01902     0.01524     0.01450     0.01718     0.01498     0.01559     0.44847
    35.48485     0.31172     0.01829     0.02112     0.01821     0.01426     0.01419     0.01583     0.01439     0.01428     0.44229
    35.81485     0.31575     0.01872     0.02132     0.01843     0.01442     0.01373     0.01576     0.01431     0.01410     0.44653
    36.14585     0.29631     0.01816     0.02067     0.01887     0.01358     0.01358     0.01522     0.01298     0.01312     0.42249
    36.47585     0.31891     0.01920     0.02249     0.02104     0.01445     0.01369     0.01543     0.01363     0.01461     0.45344
    36.80685     0.31580     0.02072     0.02292     0.02041     0.01372     0.01284     0.01468     0.01335     0.01399     0.44842
    37.13685     0.32743     0.02202     0.02459     0.02234     0.01365     0.01264     0.01523     0.01317     0.01341     0.46448
    37.46785     0.35194     0.02504     0.02757     0.02376     0.01395     0.01424     0.01562     0.01448     0.01444     0.50103
    37.79785     0.35937     0.02469     0.02715     0.02452     0.01407     0.01359     0.01526     0.01317     0.01389     0.50571
    38.12885     0.34992     0.02477     0.02763     0.02492     0.01377     0.01390     0.01471     0.01283     0.01297     0.49542
    38.45885     0.36331     0.02763     0.02946     0.02671     0.01370     0.01343     0.01487     0.01364     0.01358     0.51633
    38.78985     0.39310     0.03035     0.03221     0.03007     0.01399     0.01394     0.01452     0.01449     0.01402     0.55668
    39.11985     0.41952     0.03214     0.03587     0.03201     0.01485     0.01444     0.01565     0.01441     0.01415     0.59304
    39.45085     0.40503     0.03324     0.03540     0.03395     0.01470     0.01444     0.01532     0.01436     0.01401     0.58046
    39.78085     0.38104     0.03153     0.03442     0.03296     0.01301     0.01350     0.01369     0.01369     0.01341     0.54725
    40.11185     0.37378     0.03419     0.03687     0.03280     0.01313     0.01379     0.01375     0.01358     0.01353     0.54541
    40.44185     0.38380     0.03383     0.03675     0.03395     0.01274     0.01375     0.01364     0.01297     0.01259     0.55402
    40.77285     0.42158     0.03764     0.04057     0.04016     0.01399     0.01473     0.01466     0.01460     0.01373     0.61165
    41.10285     0.40046     0.03793     0.04022     0.03834     0.01293     0.01394     0.01325     0.01343     0.01342     0.58393
    41.43385     0.45817     0.04280     0.04650     0.04194     0.01425     0.01497     0.01435     0.01539     0.01422     0.66258
    41.76385     0.41120     0.04108     0.04434     0.04103     0.01308     0.01375     0.01317     0.01388     0.01296     0.60448
    42.09485     0.40808     0.04408     0.04688     0.04231     0.01300     0.01368     0.01354     0.01421     0.01317     0.60895
    42.42485     0.42601     0.04712     0.05017     0.04678     0.01314     0.01429     0.01354     0.01456     0.01354     0.63916
    42.75585     0.44400     0.04878     0.05227     0.05028     0.01355     0.01512     0.01380     0.01459     0.01376     0.66615
    43.08585     0.42539     0.05196     0.05525     0.05206     0.01387     0.01440     0.01349     0.01458     0.01324     0.65424
    43.41685     0.43518     0.05353     0.05860     0.05288     0.01373     0.01489     0.01337     0.01492     0.01383     0.67093
    43.74685     0.41773     0.05282     0.05733     0.05224     0.01272     0.01358     0.01278     0.01415     0.01273     0.64608
    44.07685     0.41667     0.05464     0.05858     0.05498     0.01239     0.01360     0.01252     0.01387     0.01239     0.64965
    44.40785     0.42608     0.05863     0.06285     0.05992     0.01308     0.01391     0.01274     0.01412     0.01312     0.67445
    44.73785     0.41526     0.05848     0.06252     0.05997     0.01267     0.01395     0.01249     0.01394     0.01238     0.66166
    45.06885     0.38871     0.05940     0.06472     0.05989     0.01199     0.01319     0.01207     0.01319     0.01159     0.63474
    45.39885     0.39279     0.06330     0.06795     0.06253     0.01179     0.01296     0.01205     0.01313     0.01213     0.64862
    45.72985     0.38464     0.06307     0.07032     0.06391     0.01129     0.01287     0.01184     0.01311     0.01159     0.64265
    46.05985     0.37018     0.06375     0.06771     0.06388     0.01075     0.01235     0.01099     0.01238     0.01106     0.62303
    46.39085     0.36285     0.06829     0.06958     0.06594     0.01060     0.01207     0.01071     0.01254     0.01102     0.62360
    46.72085     0.36374     0.06886     0.07428     0.06916     0.01092     0.01206     0.01096     0.01234     0.01070     0.63303
    47.05185     0.35225     0.07021     0.07466     0.06981     0.01059     0.01183     0.01071     0.01172     0.01046     0.62224
    47.38185     0.32924     0.07116     0.07639     0.07074     0.00980     0.01156     0.01010     0.01142     0.00974     0.60015
    47.71285     0.34925     0.07514     0.08143     0.07616     0.01012     0.01174     0.01014     0.01131     0.00998     0.63526
    48.04285     0.32952     0.07639     0.07984     0.07542     0.00977     0.01104     0.00963     0.01103     0.00960     0.61224
    48.37385     0.31715     0.07788     0.08198     0.08036     0.00943     0.01073     0.00939     0.01067     0.00930     0.60689
    48.70385     0.30785     0.07979     0.08481     0.08261     0.00915     0.01050     0.00912     0.01051     0.00915     0.60349
    49.03485     0.30293     0.08327     0.08502     0.08050     0.00889     0.01008     0.00904     0.01026     0.00907     0.59907
    49.36485     0.29646     0.08216     0.08542     0.08321     0.00853     0.00952     0.00857     0.00969     0.00847     0.59202
    49.69585     0.29026     0.08420     0.08731     0.08499     0.00820     0.00935     0.00837     0.00949     0.00833     0.59050
    50.02585     0.29115     0.08834     0.09455     0.08962     0.00833     0.00979     0.00845     0.00940     0.00842     0.60804
    50.35685     0.27034     0.09024     0.09461     0.08831     0.00835     0.00921     0.00808     0.00920     0.00801     0.58635
    50.68685     0.26186     0.08931     0.09357     0.09163     0.00781     0.00890     0.00770     0.00898     0.00772     0.57748
    51.01785     0.25580     0.09382     0.09499     0.09207     0.00754     0.00862     0.00736     0.00854     0.00757     0.57631
    51.34785     0.24977     0.09280     0.09714     0.09358     0.00724     0.00834     0.00719     0.00826     0.00728     0.57161
    51.67885     0.23863     0.09577     0.10084     0.09519     0.00705     0.00794     0.00716     0.00791     0.00711     0.56760
    52.00885     0.23905     0.09988     0.10300     0.09936     0.00688     0.00777     0.00695     0.00750     0.00687     0.57727
    52.33985     0.23277     0.09926     0.10399     0.09945     0.00668     0.00745     0.00650     0.00724     0.00663     0.56997
    52.66985     0.21734     0.10036     0.10569     0.10172     0.00656     0.00727     0.00624     0.00732     0.00650     0.55900
    52.99985     0.21603     0.10264     0.10808     0.10427     0.00627     0.00703     0.00629     0.00697     0.00618     0.56377
